field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1208	3	2	5	9	11	15	16	21	26	29	33	36	39	41	42	44	46	48	51	53		3.074
1209	2	3	7	9	13	14	19	24	27	31	34	37	39	40	42	44	46	49	51	55		1.793
1210	3	4	6	10	11	16	21	24	28	31	34	36	37	39	41	43	46	48	52	55		3.623
1211	4	2	6	7	12	17	20	24	27	30	32	33	35	37	39	42	44	48	51	55		3.507
1212	2	4	5	10	15	18	22	25	28	30	31	33	35	37	40	42	46	49	53	56		7.157
1213	4	1	6	11	14	18	21	24	26	27	29	31	33	36	38	42	45	49	52	55		3.928
1214	1	5	10	13	17	20	23	25	26	28	30	32	35	37	41	44	48	51	54	59		0.999
1215	5	5	8	12	15	18	20	21	23	25	27	30	32	36	39	43	46	49	54	57		5.122
1216	5	3	7	10	13	15	16	18	20	22	25	27	31	34	38	41	44	49	52	56		5.229
1217	3	4	7	10	12	13	15	17	19	22	24	28	31	35	38	41	46	49	53	57		3.185
1218	4	3	6	8	9	11	13	15	18	20	24	27	31	34	37	42	45	49	53	56		3.639
1219	3	3	5	6	8	10	12	15	17	21	24	28	31	34	39	42	46	50	53	55		2.351
1220	3	2	3	5	7	9	12	14	18	21	25	28	31	36	39	43	47	50	52	56		3.789
1221	2	1	3	5	7	10	12	16	19	23	26	29	34	37	41	45	48	50	54	56		1.720
1222	1	2	4	6	9	11	15	18	22	25	28	33	36	40	44	47	49	53	55	57		1.336
